K.Cousins,271,1,37,21,1,19.84,1095,7,120,83,1,83.4,1815,11,209,143,2,130.0,16.96
D.Brees,326,0,44,31,3,13.040000000000001,921,6,124,94,4,68.94,1547,12,192,143,6,122.67999999999999,7.4799999999999995
J.Flacco,381,4,47,36,1,33.24,884,6,118,84,2,62.86,1421,10,189,132,5,102.84,23.060000000000002
A.Rodgers,209,2,30,20,0,17.96,873,7,110,76,0,76.41999999999999,1541,12,204,133,3,136.14,21.24
D.Carr,260,2,35,19,0,20.799999999999997,870,7,104,66,2,66.69999999999999,1567,11,194,126,2,115.17999999999998,4.9799999999999995
M.Stafford,341,2,42,30,0,26.84,851,3,115,77,0,54.24000000000001,1310,6,192,127,1,83.6,18.42
T.Brady,269,1,46,33,0,14.86,835,7,136,87,0,62.3,1466,11,201,132,1,110.74000000000001,30.14
J.Winston,280,1,30,20,1,16.300000000000004,831,4,97,65,2,55.74000000000001,1404,9,167,111,3,102.06,8.96
A.Dalton,332,2,31,23,0,25.18,822,4,122,73,2,59.18,1310,6,193,116,4,94.30000000000001,16.9
C.Palmer,300,3,46,30,0,26.9,787,7,129,75,3,60.480000000000004,1526,11,224,140,6,110.64,14.3
C.Wentz,308,1,60,36,3,19.62,780,3,141,83,6,55.0,1375,3,224,135,8,80.39999999999999,19.060000000000002
A.Smith,270,1,25,21,0,14.5,751,3,100,71,1,49.94,1056,4,157,105,2,69.34,15.160000000000002
R.Wilson,277,1,36,26,1,16.98,700,2,100,61,3,54.3,1330,7,163,106,3,110.1,10.5
B.Osweiler,202,2,35,22,0,18.08,691,3,111,70,4,48.24,976,6,167,104,5,72.64,4.68
R.Tannehill,226,1,40,29,3,10.040000000000001,683,6,104,73,4,52.62,1072,9,156,107,4,81.47999999999999,20.8
B.Roethlisberger,289,2,36,24,1,18.560000000000002,677,5,92,61,1,48.080000000000005,1349,9,183,121,2,99.36,5.6000000000000005
S.Bradford,247,1,45,32,0,14.88,640,2,110,83,1,33.5,1220,5,190,145,2,72.2,17.38
D.Prescott,139,1,18,12,0,13.260000000000002,635,5,78,56,0,63.60000000000001,1201,10,137,99,0,111.24000000000001,8.700000000000001
C.Newton,182,1,32,14,0,12.48,620,4,93,42,1,48.3,1106,6,163,85,2,87.74,12.5
E.Manning,195,2,39,24,2,13.700000000000001,616,7,102,60,2,50.44,1113,14,182,110,6,94.32,10.52
M.Ryan,297,1,34,22,1,17.18,566,3,68,48,2,50.12,1465,11,170,119,3,107.3,21.48
A.Luck,278,4,28,22,0,29.720000000000002,540,6,56,37,1,49.400000000000006,1031,9,127,79,4,85.53999999999999,20.24
T.Taylor,191,0,35,18,1,15.64,523,1,80,49,2,45.62,995,2,156,95,3,90.6,16.32
M.Mariota,226,2,23,15,0,21.64,516,4,61,40,0,72.74000000000001,1394,13,152,104,2,125.56000000000002,7.32
B.Bortles,181,0,42,19,2,14.14,509,4,103,54,4,49.66,1026,8,193,108,6,92.84,15.58
